G,id_uncertain,id_new,id_alt,id_old,type_x,type_uncertain,context,remnant,SN_year,SN_association,age_min (yr),age_max (yr),distance_min (kpc),distance_max (kpc),size_coarse (arcmin),size_imprecise,size_radio,size_X,J2000_ra (hh:mm:ss),J2000_dec (dd:mm:ss),J2000_from,name,l,b,RA,Dec,size,type_y,flux,s,normalized_name
G000.9+00.1,,,,,plerionic composite,,contains PSR J1747-2809 + PWN G0.87+0.08,"eje,PSR,PWN",,,1900.0,1900.0,8.34,10.0,8.0,,8',,17:47:21,-28:09:00,Green J coord,G0.9+0.1,0.9,0.1,17 47 21,-28 09,8,C,18?,varies,G000.9+00.1
G005.4-01.2,1.0,,Milne 56,"G5.3-1.0, G5.27-0.9",plerionic composite,1.0,offset PSR J1801-2451 = B1757-24 = the Duck + PWN G5.27-0.9,"eje,PSR?,PWN?",,,,,3.89,5.2,35.0,,35',,18:02:10,-24:54:00,Green J coord,G5.4-1.2,5.4,-1.2,18 02 10,-24 54,35,C?,35?,0.2?,G005.4-01.2
G011.2-00.3,,,,,plerionic composite,,"contains PSR J1811-1925 = the Turtle + PWN G11.18-0.35, close to SNR G11.1-1.0 with PSR J1809-1917 + PWN G11.09+0.08, close to PSR J1809-1943","eje,PSR,PWN",386.0,suggested,1400.0,2400.0,3.7,4.7,4.0,,4',,18:11:29,-19:25:25,NS J coord,G11.2-0.3,11.2,-0.3,18 11 27,-19 25,4,C,22,0.5,G011.2-00.3
G012.5+00.2,,,,G12.58+0.22,plerionic composite,1.0,,eje?,,,,,,,5.5,,6'x5',,18:12:14,-17:55:00,Green J coord,G12.5+0.2,12.5,0.2,18 12 14,-17 55,6x5,C?,0.6,0.4,G012.5+00.2
G012.8-00.0,,,W33,"G12.82-0.02, G12.83-0.02",plerionic composite,,"close to W33 complex, contains PSR J1813-1749 + PWN G12.82-0.02","eje,PSR?,PWN?",,,1200.0,1200.0,4.0,,3.0,,3',,18:13:37,-17:49:00,Green J coord,G12.8-0.0,12.8,-0.0,18 13 37,-17 49,3,C?,0.8,0.5,G012.8-00.0
G015.4+00.1,,,,G15.42+0.18,plerionic composite,1.0,contains PWN?,"eje,PWN?",,,2500.0,8200.0,4.8,9.8,15.0,,15'x14',,18:18:02,-15:27:00,Green J coord,G15.4+0.1,15.4,0.1,18 18 02,-15 27,15x14,C?,5.6,0.62,G015.4+00.1
G016.7+00.1,,,,G16.73+0.08,plerionic composite,,"contains PWN G16.73+0.08, and PSR?","eje,PSR?,PWN",,,2100.0,2100.0,13.9,14.1,4.0,,4',,18:20:56,-14:20:00,Green J coord,G16.7+0.1,16.7,0.1,18 20 56,-14 20,4,C,3.0,0.6,G016.7+00.1
G018.9-01.1,,,,"G18.95-1.1,G18.94-1.04",plerionic composite,,contains PWN and PSR candidate CXOU J182913.1-125113,"eje,PSR,PWN?",,,2800.0,6100.0,1.6,4.7,33.0,,33',7.7',18:29:50,-12:58:00,Green J coord,G18.9-1.1,18.9,-1.1,18 29 50,-12 58,33,C?,37,0.39,G018.9-01.1
G021.5-00.9,,,,,plerionic composite,,contains PSR J1833-1034 + PWN G21.50-0.89,"eje,PSR,PWN",,,1550.0,1800.0,4.2,4.6,5.0,,5',1.3',18:33:34,-10:34:07,NS J coord,G21.5-0.9,21.5,-0.9,18 33 33,-10 35,5,C,7,varies,G021.5-00.9
G024.7+00.6,,,,,plerionic composite,1.0,"contains PWN?, adjacent to HII regions","eje?,PWN?",,,9500.0,9500.0,2.73,3.7,21.0,1.0,30'x15',,18:34:10,-07:05:00,Green J coord,G24.7+0.6,24.7,0.6,18 34 10,-07 05,30x15,C?,20?,0.2?,G024.7+00.6
G029.7-00.3,,,Kes 75,,plerionic composite,,contains high-B PSR J1846-0258 (magnetar?) + PWN,"eje,PSR,PWN",,,1690.0,1850.0,5.3,5.9,3.0,,3',"38""",18:46:25,-02:59:00,Green J coord,G29.7-0.3,29.7,-0.3,18 46 25,-02 59,3,C,10,0.63,G029.7-00.3
G034.7-00.4,,,"W44, 3C392",G34.6-0.5,thermal & plerionic composite,,"inside W48 complex, contains PSR B1853+01 = J1856+0113 + PWN G34.56-0.50","eje,PSR,PWN",,,7900.0,8900.0,2.1,3.3,31.0,,35'x27',,18:56:00,01:22:00,Green J coord,G34.7-0.4,34.7,-0.4,18 56 00,+01 22,35x27,C,240,0.37,G034.7-00.4
G039.2-00.3,,,"3C396, HC24, NRAO 593",,plerionic composite,,contains PWN G39.22-0.32,"eje,PWN",,,4700.0,5200.0,6.2,9.5,7.0,,8'x6',,19:04:08,05:28:00,Green J coord,G39.2-0.3,39.2,-0.3,19 04 08,+05 28,8x6,C,18,0.34,G039.2-00.3
G054.1+00.3,,,,,plerionic composite,1.0,contains PSR J1930+1852 + PWN G54.10+0.27,"eje?,PSR,PWN",,,1500.0,2400.0,4.1,7.2,12.0,1.0,~12',2'x1.3',19:30:31,18:52:00,Green J coord,G54.1+0.3,54.1,0.3,19 30 31,+18 52,12?,C?,0.5,0.1,G054.1+00.3
G093.3+06.9,,,"DA 530, 4C(T)55.38.1",G93.2+6.7,thermal & plerionic composite,1.0,contains PWN?,"eje,PWN?",,,3200.0,7000.0,4.4,,23.0,,27'x20',,20:52:25,55:21:00,Green J coord,G93.3+6.9,93.3,6.9,20 52 25,+55 21,27x20,C?,9,0.45,G093.3+06.9
G106.3+02.7,,,Boomerang,G106.6+2.9,plerionic composite,,contains PSR J2229+6114 and PWN G106.65+2.96 = the Boomerang,"eje?,PSR,PWN",,,3900.0,,0.7,0.8,38.0,1.0,60'x24',,22:27:30,60:50:00,Green J coord,G106.3+2.7,106.3,2.7,22 27 30,+60 50,60x24,C?,6,0.6,G106.3+02.7
G189.1+03.0,,,"IC443, 3C157, Sh2-248, Jellyfish Nebula",,thermal & plerionic composite,,"next to HII region S249, overlaps SNR G189.6+03.3, contains runaway NS CXOU J061705.3+222127 + PWN G189.23+2.90","eje,NS,PWN",837.0,dubious,3000.0,30000.0,0.7,2.0,45.0,,45',,06:17:00,22:34:00,Green J coord,G189.1+3.0,189.1,3.0,06 17 00,+22 34,45,C,165,0.36,G189.1+03.0
G263.9-03.3,,,"Vela, contains NGC 2736 = Pencil Nebula",,plerionic composite,,"overlaps SNR G260.4-3.4 and SNR G266.2-1.2, contains PSR B0833-45 = J0835-4510 = Vela + PWN Vela X (unrelated to eclipsing binary Vela X-1)","eje,PSR,PWN",,,9000.0,27000.0,0.25,0.3,255.0,,255',1.5',08:34:00,-45:50:00,Green J coord,G263.9-3.3,263.9,-3.3,08 34 00,-45 50,255,C,1750,varies,G263.9-03.3
G291.0-00.1,,,(MSH 11-62),,plerionic composite,,contains PWN G291.02-0.11 + PSR candidate CXOU J111148.6-603926,"eje,PSR?,PWN",,,1300.0,10000.0,3.0,10.0,14.0,,15'x13',,11:11:54,-60:38:00,Green J coord,G291.0-0.1,291.0,-0.1,11 11 54,-60 38,15x13,C,16,0.29,G291.0-00.1
G292.0+01.8,,,MSH 11-54,,plerionic composite,,contains PSR J1124-5916 + PWN G292.04+1.75,"eje,PSR,PWN",,,2930.0,3050.0,6.0,6.2,9.8,,12'x8',,11:24:36,-59:16:00,Green J coord,G292.0+1.8,292.0,1.8,11 24 36,-59 16,12x8,C,15,0.4,G292.0+01.8
