name,l,b,RA,Dec,size,type,flux,s
G0.0+0.0,0.0,+0.0,17 45 44,-29 00,3.5x2.5,S,100?,0.8?
G0.3+0.0,0.3,+0.0,17 46 15,-28 38,15x8,S,22,0.6
G0.9+0.1,0.9,+0.1,17 47 21,-28 09,8,C,18?,varies
G1.0-0.1,1.0,-0.1,17 48 30,-28 09,8,S,15,0.6?
G1.4-0.1,1.4,-0.1,17 49 39,-27 46,10,S,2?,?
G1.9+0.3,1.9,+0.3,17 48 45,-27 10,1.5,S,0.6,0.6
G3.1-0.6,3.1,-0.6,17 55 30,-26 35,52x28,S,5,0.9?
G3.7-0.2,3.7,-0.2,17 55 26,-25 50,14x11,S,2.3,0.65
G3.8+0.3,3.8,+0.3,17 52 55,-25 28,18,S?,3?,0.6
G4.2-3.5,4.2,-3.5,18 08 55,-27 03,28,S,3.2?,0.6?
G4.5+6.8,4.5,+6.8,17 30 42,-21 29,3,S,19,0.64
G4.8+6.2,4.8,+6.2,17 33 25,-21 34,18,S,3,0.6
G5.2-2.6,5.2,-2.6,18 07 30,-25 45,18,S,2.6?,0.6?
G5.4-1.2,5.4,-1.2,18 02 10,-24 54,35,C?,35?,0.2?
G5.5+0.3,5.5,+0.3,17 57 04,-24 00,15x12,S,5.5,0.7
G5.9+3.1,5.9,+3.1,17 47 20,-22 16,20,S,3.3?,0.4?
G6.1+0.5,6.1,+0.5,17 57 29,-23 25,18x12,S,4.5,0.9
G6.1+1.2,6.1,+1.2,17 54 55,-23 05,30x26,F,4.0?,0.3?
G6.4-0.1,6.4,-0.1,18 00 30,-23 26,48,C,310,varies
G6.4+4.0,6.4,+4.0,17 45 10,-21 22,31,S,1.3?,0.4?
G6.5-0.4,6.5,-0.4,18 02 11,-23 34,18,S,27,0.6
G7.0-0.1,7.0,-0.1,18 01 50,-22 54,15,S,2.5?,0.5?
G7.2+0.2,7.2,+0.2,18 01 07,-22 38,12,S,2.8,0.6
G7.5-1.7,7.5,-1.7,18 10 00,-23 10,100,S,18?,0.7?
G7.7-3.7,7.7,-3.7,18 17 25,-24 04,22,S,11,0.32
G8.7-5.0,8.7,-5.0,18 24 10,-23 48,26,S,4.4,0.3
G8.7-0.1,8.7,-0.1,18 05 30,-21 26,45,S?,80,0.5
G8.9+0.4,8.9,+0.4,18 03 58,-21 03,24,S,9,0.6
G9.7-0.0,9.7,-0.0,18 07 22,-20 35,15x11,S,3.7,0.6
G9.8+0.6,9.8,+0.6,18 05 08,-20 14,12,S,3.9,0.5
G9.9-0.8,9.9,-0.8,18 10 41,-20 43,12,S,6.7,0.4
G1.0-0.0,1.0,-0.0,18 10 04,-19 25,11x9,S,1.3,0.6
G11.1-0.7,11.1,-0.7,18 12 46,-19 38,11x7,S,1.0,0.7
G11.1+0.1,11.1,+0.1,18 09 47,-19 12,12x10,S,2.3,0.4
G11.2-0.3,11.2,-0.3,18 11 27,-19 25,4,C,22,0.5
G11.4-0.1,11.4,-0.1,18 10 47,-19 05,8,S?,6,0.5
G11.8-0.2,11.8,-0.2,18 12 25,-18 44,4,S,0.7,0.3
G12.0-0.1,12.0,-0.1,18 12 11,-18 37,7?,?,3.5,0.7
G12.2+0.3,12.2,+0.3,18 11 17,-18 10,6x5,S,0.8,0.7
G12.5+0.2,12.5,+0.2,18 12 14,-17 55,6x5,C?,0.6,0.4
G12.7-0.0,12.7,-0.0,18 13 19,-17 54,6,S,0.8,0.8
G12.8-0.0,12.8,-0.0,18 13 37,-17 49,3,C?,0.8,0.5
G13.1-0.5,13.1,-0.5,18 16 00,-17 49,38x28,S,11?,0.6?
G13.3-1.3,13.3,-1.3,18 19 20,-18 00,70x40,S?,?,?
G13.5+0.2,13.5,+0.2,18 14 14,-17 12,5x4,S,3.5?,1.0?
G14.1-0.1,14.1,-0.1,18 16 40,-16 41,6x5,S,0.5,0.6
