P1,P0,P0_ERR,P1_ERR,PSRJ
5.967032590337773e-15,0.11536356826797663,1.3308752883520106e-12,6.654376441774295e-20,J0002+6216
2.097e-15,0.693748,,1.2e-17,J0006+1834
3.6039045219052865e-13,0.3158731908527248,2.993276180984457e-10,4.9887936354416684e-17,J0007+7303
1.2813422140061522e-16,3.0253007099721887,1.8304888771516458e-10,,J0012+5431
5.644584230506426e-16,1.2406990389455896,1.077533873668357e-11,1.3854006947164625e-19,J0014+4746
1.0389090898677685e-15,2.314130829094102,1.6065604482491265e-10,1.6065604482491266e-17,J0021-0909
1.1423447047080355e-20,0.00305020310475439,3.7214955921013285e-18,1.3955608470379984e-25,J0023+0923
-4.9850295447175405e-20,0.005756779995516346,1.3256206366710872e-16,1.988430955006631e-24,J0024-7204C
-3.422042178952725e-21,0.00535757328486573,8.611077450812091e-17,8.611077450812091e-25,J0024-7204D
9.85103008512741e-20,0.003536329152762437,3.751687163003249e-17,5.002249550670998e-25,J0024-7204E
6.450286144485997e-20,0.0026235793525126202,3.4415843094652696e-17,6.883168618930539e-25,J0024-7204F
-4.215844380835048e-20,0.004040379143565148,1.305973089900499e-16,1.6324663623756235e-24,J0024-7204G
-1.8293660259448614e-21,0.0032103407093503167,1.0306287470111894e-16,1.0306287470111894e-24,J0024-7204H
-4.587352036000304e-20,0.0034849920616628867,1.2145169669853337e-16,2.4290339339706677e-24,J0024-7204I
-9.791695406637457e-21,0.0021006335453524617,4.412661291860053e-17,8.825322583720107e-25,J0024-7204J
-1.2204485685975984e-19,0.004346167999461561,3.7778352559087413e-16,3.777835255908741e-24,J0024-7204L
-3.8418670373886966e-20,0.003676643217600219,2.703541069905138e-16,5.407082139810276e-24,J0024-7204M
-2.1856974158788178e-20,0.0030539543462608475,9.32663714904552e-17,1.865327429809104e-24,J0024-7204N
3.034932000446853e-20,0.0026433432972435664,4.1923582722494934e-17,5.589811029665991e-25,J0024-7204O
6.635799887250381e-19,0.0036430206936690275,2.6543199549001526e-10,3.9814799323503456e-19,J0024-7204P
3.400847706259097e-20,0.004033181184572579,1.4639895420831242e-16,3.2533100935180538e-24,J0024-7204Q
1.4835187811540885e-19,0.003480462707493289,1.2113620658251515e-16,2.4227241316503032e-24,J0024-7204R
-1.2054129011747053e-19,0.0028304059578791213,7.210078097757864e-17,8.011197886397626e-25,J0024-7204S
2.9380456006692413e-19,0.007588479807367086,1.1517005157363601e-15,1.1517005157363601e-23,J0024-7204T
9.522788323951407e-20,0.004342826696392332,1.1316086228938761e-16,1.697412934340814e-24,J0024-7204U
-8.65526281112411e-20,0.0023523445319369924,2.766762398466934e-16,1.1067049593867737e-24,J0024-7204W
1.8361022313350593e-20,0.004771522910693556,4.5534861774547016e-17,6.830229266182053e-25,J0024-7204X
-3.517211322672725e-20,0.002196657143521225,4.825302606182828e-17,9.650605212365657e-25,J0024-7204Y
-4.542715023036062e-21,0.004554447383905912,2.0742990972767405e-15,6.222897291830221e-23,J0024-7204Z
9.819775134183883e-21,0.003704639494798451,5.489741514568209e-16,8.234612271852313e-24,J0024-7204ab
1.5060858194607203e-16,0.3183577707853687,2.027033404388587e-11,5.067583510971472e-19,J0026+6320
1.0173788636913331e-20,0.004865453286352125,4.734527136334938e-17,2.367263568167469e-25,J0030+0451
3.589655626025617e-18,0.03680378426267473,4.063555608160512e-16,4.0635556081605125e-24,J0032+6946
4.966e-21,0.001877181884585,2e-16,1e-24,J0034-0534
4.082100067114921e-16,0.9429509945597656,1.6893974984683772e-12,6.224096046988931e-21,J0034-0721
2.131e-16,0.900009289,3e-09,3e-19,J0036-1033
7.6e-19,0.2569264575329,1.7e-12,6e-21,J0038-2501
2.8789727450368897e-15,1.1182253452411999,1.2504279227398006e-12,1.1253851304660048e-20,J0040+5716
2.49e-15,0.63233580002,6e-11,3e-17,J0045-7042
4.4632e-15,0.92627590497,3e-11,9e-19,J0045-7319
2.354540983090378e-15,1.2170942960575557,7.406592627479185e-12,5.925274101984041e-20,J0048+3412
7e-18,0.354732,,2e-18,J0051+0423
5.551230279088264e-15,1.390217485625509,1.1596227944033473e-11,9.663523286698999e-20,J0054+6650
7.1940970896673425e-16,0.8329113287435861,4.162447689296437e-12,6.937412815494064e-19,J0054+6946
9.537640511866794e-15,2.115171148865356,3.579159191193913e-12,3.579159191195368e-20,J0055+5117
3.3284866831837113e-15,0.47203666207644096,6.684558310328043e-12,6.68455831033469e-20,J0056+4756
1e-16,0.7380624426,2e-10,8e-17,J0057-7201
8.035708011582396e-16,0.9960234522737444,3.968250869917232e-11,1.9841254349586163e-17,J0058+4950
2.889956992961237e-14,0.021766107632488065,1.8950537658762207e-10,2.842580648814376e-15,J0058-7218
3.543e-16,1.4936009186,2e-10,6e-19,J0100+8023
1.88e-11,8.020392,9e-06,8e-13,J0100-7211
5.16e-21,0.0025731519721683,2e-16,3e-23,J0101-6422
1.1412965219709527e-20,0.002964112421588179,7.028769958250671e-16,3.514384979125336e-23,J0102+4839
5.954922985402521e-15,1.6791642290642343,1.1278370032675537e-11,8.458777524510436e-20,J0102+6537
4.279156159455215e-16,0.08315730500501595,5.5321099005578e-13,4.840596162988108e-20,J0106+4855
6.87e-16,1.197383,,3e-18,J0107+1322
1.3050932466562642e-14,1.283659842947923,4.943347777191259e-10,2.966008666331788e-18,J0108+6608
4.809456470078737e-17,1.0711181098585134,4.5891760210674975e-12,3.4418820158006234e-20,J0108+6905
7.70397323650844e-17,0.807564614019424,1.956481817449024e-11,1.1738890904694148e-19,J0108-1431
